Entity,Code,Year,Number of reported natural disasters - Earthquakes
Asia,OWID_ASI,1692,1
Asia,OWID_ASI,1694,2
Asia,OWID_ASI,1695,1
Asia,OWID_ASI,1696,2
Asia,OWID_ASI,1698,1
Asia,OWID_ASI,1699,1
Asia,OWID_ASI,1700,2
Asia,OWID_ASI,1703,3
Asia,OWID_ASI,1704,3
Asia,OWID_ASI,1707,3
Asia,OWID_ASI,1708,2
Asia,OWID_ASI,1709,1
Asia,OWID_ASI,1710,2
Asia,OWID_ASI,1711,3
Asia,OWID_ASI,1713,3
Asia,OWID_ASI,1714,2
Asia,OWID_ASI,1715,2
Asia,OWID_ASI,1716,2
Asia,OWID_ASI,1717,1
Asia,OWID_ASI,1718,1
Asia,OWID_ASI,1719,1
Asia,OWID_ASI,1720,3
Asia,OWID_ASI,1721,4
Asia,OWID_ASI,1722,1
Asia,OWID_ASI,1725,2
Asia,OWID_ASI,1726,1
Asia,OWID_ASI,1727,2
Asia,OWID_ASI,1728,1
Asia,OWID_ASI,1729,1
Asia,OWID_ASI,1730,3
Asia,OWID_ASI,1731,1
Asia,OWID_ASI,1732,1
Asia,OWID_ASI,1733,1
Asia,OWID_ASI,1735,1
Asia,OWID_ASI,1736,1
Asia,OWID_ASI,1737,2
Asia,OWID_ASI,1738,2
Asia,OWID_ASI,1739,2
Asia,OWID_ASI,1743,3
Asia,OWID_ASI,1744,1
Asia,OWID_ASI,1747,1
Asia,OWID_ASI,1748,4
Asia,OWID_ASI,1749,1
Asia,OWID_ASI,1750,2
Asia,OWID_ASI,1751,2
Asia,OWID_ASI,1752,2
Asia,OWID_ASI,1754,4
Asia,OWID_ASI,1755,3
Asia,OWID_ASI,1757,1
Asia,OWID_ASI,1759,2
Asia,OWID_ASI,1761,2
Asia,OWID_ASI,1762,2
Asia,OWID_ASI,1763,5
Asia,OWID_ASI,1765,1
Asia,OWID_ASI,1766,4
Asia,OWID_ASI,1767,2
Asia,OWID_ASI,1768,1
Asia,OWID_ASI,1769,3
Asia,OWID_ASI,1770,4
Asia,OWID_ASI,1771,2
Asia,OWID_ASI,1772,2
Asia,OWID_ASI,1775,1
Asia,OWID_ASI,1776,1
Asia,OWID_ASI,1778,3
Asia,OWID_ASI,1779,1
Asia,OWID_ASI,1780,1
Asia,OWID_ASI,1781,1
Asia,OWID_ASI,1782,2
Asia,OWID_ASI,1783,1
Asia,OWID_ASI,1784,2
Asia,OWID_ASI,1785,1
